headline,review,rating
easy to use and very nice quality product,the product quality and the pricing is really very nice I am use the product last few days experience the Great writing and quality of this product,5.0 out of 5 stars
Superbh quality,Good quality ink and writing smoothness is amazing but the plastic outside part is not good but that's not a big deal,5.0 out of 5 stars
Very good gel pen,The quality is very good. Comfortable to hold and write. No leakage. Overall satisfied.,5.0 out of 5 stars
5.star super.duper product,Best for teachers.day guys..... If you are finding a pen set for gifting teachers and also good.for.you personal use,5.0 out of 5 stars
NOT SATISFIED,The pen’s outer body is pretty good but most of the refills are dried out and not working properly.,3.0 out of 5 stars
Average product,Average pens. Grip is not good while writing,3.0 out of 5 stars
Must buy this product,"This pen 🖊 is so good
and yes the neon body is looking just amazing",5.0 out of 5 stars
Good,Well designed and good for students who are interested in writing assessment and assignments.,5.0 out of 5 stars
Description,Please give correct description all pen are having blue ink,5.0 out of 5 stars
Ok but not best,Useful but u can search better option.,4.0 out of 5 stars
Excellent,Excellent. I bought it to give as a gift to my students. They were very happy.,5.0 out of 5 stars
Expected more,Poor grip,3.0 out of 5 stars
Nice pens,The colours are all vibrant and bright...the refills are long lasting and provides very smooth grip and handwriting..nice pens,5.0 out of 5 stars
Good,Very good,4.0 out of 5 stars
Good,Good pen,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Must for any stationery lover!,These bright colored pens can add a pop of color to the desk of any stationery lover.,5.0 out of 5 stars
Overall good,I liked the product,4.0 out of 5 stars
Parwale,Good,4.0 out of 5 stars
Smooth,Good,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Must buy,Unique color and good quality,4.0 out of 5 stars
Awesome product,I love this pens they are very beautiful I love writing with this pens just awesome pens,5.0 out of 5 stars
Classmate octane gel,Its is too gd nd i am vry happy by buying this product,3.0 out of 5 stars
Cute,Cute,4.0 out of 5 stars
Good,Value for money,4.0 out of 5 stars
Attractive neon colours,Very smooth in writting n beautiful in look,5.0 out of 5 stars
REVIEW ABOUT (CLASSMATE OCTANE GEL),Pen is good but it is stuck most of the time.,3.0 out of 5 stars
Not good,Better buy other brands.,4.0 out of 5 stars
So good!,Woah! I love it great for exams and a school work love it!😍❤️,5.0 out of 5 stars
Great colour,"Nice pens
All are working
Colour are good and attractive",5.0 out of 5 stars
Very very colourful,I'm always use gel pen...and I just love .thanks classmate to make a such good product.,5.0 out of 5 stars
Nice,Smooth,4.0 out of 5 stars
Good,Good pack of pens,4.0 out of 5 stars
Good,Good colors,4.0 out of 5 stars
Very smooth.,"Haven't tested the water resistance part yet , otherwise everything is to my satisfaction.",5.0 out of 5 stars
Look awesome,Good 👍,3.0 out of 5 stars
"Pathetic pens, ink dries up fast.","Pathetic pens, ink dries up too fast. Dont buy for school students.",1.0 out of 5 stars
jskososnne,good gel pen from classmate,4.0 out of 5 stars
Happy,I am very happy with the product thank you . Very Smooth writing.,5.0 out of 5 stars
Very Good Pen.,Very good pen. It is water resistant and very cheap. Plus it lasts for long.,5.0 out of 5 stars
