headline,review,rating
Good product but outer packing is not satisfactory,"Product packing is not upto satisfactory, but the product is safe. So i am ok with it.",4.0 out of 5 stars
Good deal,Received in good condition n original product.. Happy with the deal..,3.0 out of 5 stars
Colgate brand allows good but diler Rong, Amazon me Colgate 700gm combo pack 276.25 ruppes lekin 270.00 ruppes 12/2021 one year old mal diya.,1.0 out of 5 stars
Very good product,"Very good product and delivered before delivery date.
Thank you AMAZON!😍😍",5.0 out of 5 stars
Good,Good product ....I got it for ₹334...value for money,4.0 out of 5 stars
Value for money,Good,5.0 out of 5 stars
Value for money,Highly recommend to buy this. Fresh and best quality at low price.,5.0 out of 5 stars
Old is Gold,Freshness is a little less than pepsodent but its good for the price and cavity protection.,5.0 out of 5 stars
Excellent product,Packaging is good. I have purchased it in a very discount prices. Product quality is also good. Thanks to amazon,5.0 out of 5 stars
best,must purchased,4.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Nice product,I like it.value for money,5.0 out of 5 stars
B,A,4.0 out of 5 stars
Nice,Value for money,5.0 out of 5 stars
Nice product,Flavor is good and save money,4.0 out of 5 stars
Buy but not expect more,Good comparing with others,4.0 out of 5 stars
